account,permitID,agencyID,permitStatus,desc,permitType,issueDate,year,siteNo,siteStreet,siteSuffix,streetAddress,fullAddress
11570000009,1406614,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,6/17/2014,2015,607,CHENEVERT,ST,607 CHENEVERT ST,"607 CHENEVERT ST, Houston, Texas"
11770000005,1277502,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,7/11/2011,2012,801,CHARTRES,ST,801 CHARTRES ST,"801 CHARTRES ST, Houston, Texas"
11770000006,1127238,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,10/12/2007,2008,815,CHARTRES,ST,815 CHARTRES ST,"815 CHARTRES ST, Houston, Texas"
12150000003,1291030,CITY OF HOUSTON,Complete,DEMO BLD / SEWER DISC,Commercial Demolition,11/21/2011,2012,2301,MCKINNEY,ST,2301 MCKINNEY ST,"2301 MCKINNEY ST, Houston, Texas"
12330000006,1299109,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,2/8/2012,2013,1121,CHARTRES,ST,1121 CHARTRES ST,"1121 CHARTRES ST, Houston, Texas"
12430000009,1172030,CITY OF HOUSTON,Complete,DEMO COMM BLD/SEWER DISC,Commercial Demolition,11/12/2008,2009,1101,MAIN,ST,1101 MAIN ST,"1101 MAIN ST, Houston, Texas"
12440000001,1356711,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,6/5/2013,2014,1110,MAIN,ST,1110 MAIN ST,"1110 MAIN ST, Houston, Texas"
12570000001,1250330,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,11/24/2010,2012,711,POLK,ST,711 POLK ST,"711 POLK ST, Houston, Texas"
12600000001,1126644,CITY OF HOUSTON,Complete,DEMO PARKING LOT,Commercial Demolition,8/7/2007,2008,1201,MAIN,ST,1201 MAIN ST,"1201 MAIN ST, Houston, Texas"
12610000009,1126646,CITY OF HOUSTON,Complete,DEMO PARKING LOT,Commercial Demolition,8/7/2007,2008,1201,FANNIN,ST,1201 FANNIN ST,"1201 FANNIN ST, Houston, Texas"
12620000001,1126645,CITY OF HOUSTON,Complete,DEMO PARKING LOT,Commercial Demolition,8/7/2007,2008,1201,SAN JACINTO,ST,1201 SAN JACINTO ST,"1201 SAN JACINTO ST, Houston, Texas"
12630000008,1125864,CITY OF HOUSTON,Complete,DEMO COMM/SEWER DISC,Commercial Demolition,5/9/2007,2008,1211,CAROLINE,ST,1211 CAROLINE ST,"1211 CAROLINE ST, Houston, Texas"
12630000008,1125871,CITY OF HOUSTON,Complete,DEMO COMM/SEWER DISC,Commercial Demolition,5/9/2007,2008,1215,CAROLINE,ST,1215 CAROLINE ST,"1215 CAROLINE ST, Houston, Texas"
12630000008,1125872,CITY OF HOUSTON,Complete,DEMO COMM/SEWER DISC,Commercial Demolition,5/9/2007,2008,1217,CAROLINE,ST,1217 CAROLINE ST,"1217 CAROLINE ST, Houston, Texas"
20020000019,1381667,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Commercial Demolition,12/31/2013,2015,2002,DALLAS,ST,2002 DALLAS ST,"2002 DALLAS ST, Houston, Texas"
20140000001,1314261,CITY OF HOUSTON,Complete,DEMO OF NON-LOAD BEARING NON-FIRE RATED PARTITIONS,Commercial Demolition,6/28/2012,2013,1301,FANNIN,ST,1301 FANNIN ST,"1301 FANNIN ST, Houston, Texas"
20240000006,1414010,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Commercial Demolition,8/13/2014,2015,2103,BELL,ST,2103 BELL ST,"2103 BELL ST, Houston, Texas"
20340000009,1401054,CITY OF HOUSTON,Incomplete,DEMO BLD/SEWER DISC,Commercial Demolition,5/19/2014,2016,1410,BELL,ST,1410 BELL ST,"1410 BELL ST, Houston, Texas"
20400000001,1127261,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,10/16/2007,2008,2213,LEELAND,ST,2213 LEELAND ST,"2213 LEELAND ST, Houston, Texas"
20400000002,1126228,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Commercial Demolition,6/25/2007,2008,1514,BASTROP,ST,1514 BASTROP ST,"1514 BASTROP ST, Houston, Texas"
20400000002,1126230,CITY OF HOUSTON,Complete,DEMO RES /SEWER DISC,Commercial Demolition,6/25/2007,2008,1510,BASTROP,ST,1510 BASTROP ST,"1510 BASTROP ST, Houston, Texas"
20400000002,1127225,CITY OF HOUSTON,Complete,DEMO RES/ SEWER DISC,Commercial Demolition,10/10/2007,2008,1506,BASTROP,ST,1506 BASTROP ST,"1506 BASTROP ST, Houston, Texas"
20410000001,1413621,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC (GARAGE ONLY),Commercial Demolition,8/6/2014,2015,1512,HUTCHINS,ST,1512 HUTCHINS ST,"1512 HUTCHINS ST, Houston, Texas"
20410000001,1413622,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Commercial Demolition,8/6/2014,2015,2113,LEELAND,ST,2113 LEELAND ST,"2113 LEELAND ST, Houston, Texas"
20410000001,1414835,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Commercial Demolition,8/26/2014,2015,1512,HUTCHINS,ST,1512 HUTCHINS ST,"1512 HUTCHINS ST, Houston, Texas"
20420000006,1260829,CITY OF HOUSTON,Complete,DEMO COM/SEWER DISC,Commercial Demolition,2/21/2011,2012,2011,LEELAND,ST,2011 LEELAND ST,"2011 LEELAND ST, Houston, Texas"
20480000002,1401055,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,5/19/2014,2015,1521,AUSTIN,ST,1521 AUSTIN ST,"1521 AUSTIN ST, Houston, Texas"
20480000002,1402144,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,5/19/2014,2015,1521,AUSTIN,ST,1521 AUSTIN ST,"1521 AUSTIN ST, Houston, Texas"
20480000002,1402145,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,5/19/2014,2015,1521,AUSTIN,ST,1521 AUSTIN ST,"1521 AUSTIN ST, Houston, Texas"
20490000017,1428634,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Commercial Demolition,8/20/2014,2015,1302,LEELAND,ST,1302 LEELAND ST,"1302 LEELAND ST, Houston, Texas"
20560000006,1250776,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,12/3/2010,2011,2201,PEASE,ST,2201 PEASE ST,"2201 PEASE ST, Houston, Texas"
20560000006,1250997,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,12/7/2010,2011,2203,PEASE,ST,2203 PEASE ST,"2203 PEASE ST, Houston, Texas"
20560000006,1250999,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,12/7/2010,2011,2201,PEASE,ST,2201 PEASE ST,"2201 PEASE ST, Houston, Texas"
20560000006,1251090,CITY OF HOUSTON,Complete,DEMO RES/ SEWER DISC,Residential Demolition,12/8/2010,2011,2201,PEASE,ST,2201 PEASE ST,"2201 PEASE ST, Houston, Texas"
20650000008,1234735,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,6/10/2010,2011,1609,CAROLINE,ST,1609 CAROLINE ST,"1609 CAROLINE ST, Houston, Texas"
20680000003,1,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,3/20/2013,2014,1612,FANNIN,ST,1612 FANNIN ST,"1612 FANNIN ST, Houston, Texas"
20690000003,1220011,CITY OF HOUSTON,Complete,DEMO BLD/ SEWER DISC,Commercial Demolition,3/9/2010,2011,900,LEELAND,ST,900 LEELAND ST,"900 LEELAND ST, Houston, Texas"
20720000013,1198887,CITY OF HOUSTON,Complete,DEMO RESIDENCE/SEWER DISC,Residential Demolition,7/6/2009,2010,2418,PEASE,ST,2418 PEASE ST,"2418 PEASE ST, Houston, Texas"
20850000003,1164186,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,8/1/2008,2009,1717,FANNIN,ST,1717 FANNIN ST,"1717 FANNIN ST, Houston, Texas"
20910000009,1220342,CITY OF HOUSTON,Complete,DEMO BLD/ SEWER DISC,Commercial Demolition,3/12/2010,2011,2300,JEFFERSON,ST,2300 JEFFERSON ST,"2300 JEFFERSON ST, Houston, Texas"
21020000001,1209120,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,10/15/2009,2010,1217,ST JOSEPH,PK,1217 ST JOSEPH PK,"1217 ST JOSEPH PK, Houston, Texas"
21020000006,1424197,CITY OF HOUSTON,Complete,DEMO COMM/SEWER DISC,Commercial Demolition,11/17/2014,2015,1811,SAN JACINTO,ST,1811 SAN JACINTO ST,"1811 SAN JACINTO ST, Houston, Texas"
21150000001,1287509,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Commercial Demolition,10/17/2011,2012,1918,CHENEVERT,ST,1918 CHENEVERT ST,"1918 CHENEVERT ST, Houston, Texas"
21180000009,1299587,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,2/16/2012,2013,1800,ST JOSEPH,PK,1800 ST JOSEPH PK,"1800 ST JOSEPH PK, Houston, Texas"
21280000004,1208850,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,10/14/2009,2011,2222,PIERCE,ST,2222 PIERCE ST,"2222 PIERCE ST, Houston, Texas"
21470000006,1145575,CITY OF HOUSTON,Complete,RES DEMO / SEWER DISC,Residential Demolition,6/9/2008,2009,2111,HUTCHINS,ST,2111 HUTCHINS ST,"2111 HUTCHINS ST, Houston, Texas"
21470000009,1126025,CITY OF HOUSTON,Complete,DEMO RES/ SEWER DISC,Residential Demolition,6/4/2007,2008,2107,HUTCHINS,ST,2107 HUTCHINS ST,"2107 HUTCHINS ST, Houston, Texas"
21470000011,1139635,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,3/24/2008,2009,2210,GRAY,ST,2210 GRAY ST,"2210 GRAY ST, Houston, Texas"
21480000003,1389505,CITY OF HOUSTON,Complete,DEMO RES/ SEWER DISC,Residential Demolition,2/12/2014,2015,2110,HUTCHINS,ST,2110 HUTCHINS ST,"2110 HUTCHINS ST, Houston, Texas"
21580000001,1302264,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,3/5/2012,2013,2111,FANNIN,ST,2111 FANNIN ST,"2111 FANNIN ST, Houston, Texas"
21650000012,1391728,CITY OF HOUSTON,Incomplete,DEMO APT/SEWER DISC,Commercial Demolition,3/13/2014,2016,2211,HADLEY,ST,2211 HADLEY ST,"2211 HADLEY ST, Houston, Texas"
21660000004,1125797,CITY OF HOUSTON,Complete,DEMO RES/ SEWER DISC,Residential Demolition,4/30/2007,2009,2204,HUTCHINS,ST,2204 HUTCHINS ST,"2204 HUTCHINS ST, Houston, Texas"
21660000009,1400942,CITY OF HOUSTON,Incomplete,DEMO RES/SEWER DISC,Residential Demolition,5/16/2014,2016,2205,ST EMANUEL,ST,2205 ST EMANUEL ST,"2205 ST EMANUEL ST, Houston, Texas"
21660000009,1400943,CITY OF HOUSTON,Incomplete,DEMO RES/SEWER DISC,Residential Demolition,5/16/2014,2016,2205,ST EMANUEL,ST,2205 ST EMANUEL ST,"2205 ST EMANUEL ST, Houston, Texas"
21730000013,1160593,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,7/2/2008,2011,2202,LA BRANCH,ST,2202 LA BRANCH ST,"2202 LA BRANCH ST, Houston, Texas"
21730000013,1247130,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,10/20/2010,2011,2202,LA BRANCH,ST,2202 LA BRANCH ST,"2202 LA BRANCH ST, Houston, Texas"
21780000009,1306114,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,4/4/2012,2013,2211,TRAVIS,ST,2211 TRAVIS ST,"2211 TRAVIS ST, Houston, Texas"
21780000009,1306115,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,4/4/2012,2013,2211,TRAVIS,ST,2211 TRAVIS ST,"2211 TRAVIS ST, Houston, Texas"
21830000007,1401520,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,5/22/2014,2015,2202,POLK,ST,2202 POLK ST,"2202 POLK ST, Houston, Texas"
21920000008,1192294,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,4/6/2009,2010,1501,DOWLING,ST,1501 DOWLING ST,"1501 DOWLING ST, Houston, Texas"
22030000001,1229003,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,4/28/2010,2011,908,NAGLE,ST,908 NAGLE ST,"908 NAGLE ST, Houston, Texas"
22070000002,1332206,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,11/9/2012,2014,1314,NAGLE,ST,1314 NAGLE ST,"1314 NAGLE ST, Houston, Texas"
22130000005,1310379,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,5/30/2012,2013,2712,CAPITOL,ST,2712 CAPITOL ST,"2712 CAPITOL ST, Houston, Texas"
22190000008,1392400,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,3/21/2014,2015,2704,POLK,ST,2704 POLK ST,"2704 POLK ST, Houston, Texas"
22190000008,1395552,CITY OF HOUSTON,Complete,DEMO BLD/NO SEWER INVOLVED,Commercial Demolition,4/7/2014,2015,2704,POLK,ST,2704 POLK ST,"2704 POLK ST, Houston, Texas"
22210000009,1246458,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,10/8/2010,2011,2702,BELL,ST,2702 BELL ST,"2702 BELL ST, Houston, Texas"
22210000009,1390903,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,3/3/2014,2015,2708,BELL,ST,2708 BELL ST,"2708 BELL ST, Houston, Texas"
22210000009,1390904,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,3/3/2014,2015,2706,BELL,ST,2706 BELL ST,"2706 BELL ST, Houston, Texas"
22210000009,1390905,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,3/3/2014,2015,2704,BELL,ST,2704 BELL ST,"2704 BELL ST, Houston, Texas"
22210000009,1390906,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,3/3/2014,2015,2702,BELL,ST,2702 BELL ST,"2702 BELL ST, Houston, Texas"
22210000009,1390907,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,3/3/2014,2015,1507,NAGLE,ST,1507 NAGLE ST,"1507 NAGLE ST, Houston, Texas"
22210000009,1390908,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,3/3/2014,2015,1505,NAGLE,ST,1505 NAGLE ST,"1505 NAGLE ST, Houston, Texas"
22220000001,1135755,CITY OF HOUSTON,Complete,DEMO BLD /SEWER DISC,Commercial Demolition,2/1/2008,2010,2801,CAPITOL,ST,2801 CAPITOL ST,"2801 CAPITOL ST, Houston, Texas"
22220000001,1215591,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,1/6/2010,2011,2801,CAPITOL,ST,2801 CAPITOL ST,"2801 CAPITOL ST, Houston, Texas"
22330000004,1215589,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,1/6/2010,2011,2911,RUSK,ST,2911 RUSK ST,"2911 RUSK ST, Houston, Texas"
22410000001,1206021,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,9/18/2009,2010,803,ENNIS,ST,803 ENNIS ST,"803 ENNIS ST, Houston, Texas"
22500000011,1397009,CITY OF HOUSTON,Complete,DEMO RES / SEWER DISC,Commercial Demolition,4/25/2014,2015,3111,POLK,ST,3111 POLK ST,"3111 POLK ST, Houston, Texas"
22600000004,1199079,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,7/8/2009,2010,1315,ROBERTS,ST,1315 ROBERTS ST,"1315 ROBERTS ST, Houston, Texas"
22620000017,1207401,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,9/10/2009,2010,1200,YORK,ST,1200 YORK ST,"1200 YORK ST, Houston, Texas"
30040000004,1125957,CITY OF HOUSTON,Complete,DEMO RES / SEWER DISC,Residential Demolition,5/23/2007,2008,904,SAMPSON,ST,904 SAMPSON ST,"904 SAMPSON ST, Houston, Texas"
30160000002,1164828,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,8/12/2008,2009,412,VELASCO,ST,412 VELASCO ST,"412 VELASCO ST, Houston, Texas"
30220000003,1260269,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,2/10/2011,2012,2012,NAGLE,ST,2012 NAGLE ST,"2012 NAGLE ST, Houston, Texas"
30220000004,1401204,CITY OF HOUSTON,Incomplete,DEMO RES/SEWER DISC,Residential Demolition,5/20/2014,2016,2010,NAGLE,ST,2010 NAGLE ST,"2010 NAGLE ST, Houston, Texas"
30220000006,1248919,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,11/2/2010,2011,2007,LIVE OAK,ST,2007 LIVE OAK ST,"2007 LIVE OAK ST, Houston, Texas"
30220000006,1248920,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,11/2/2010,2011,2009,LIVE OAK,ST,2009 LIVE OAK ST,"2009 LIVE OAK ST, Houston, Texas"
30270000001,1174625,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,12/4/2008,2009,2515,JEFFERSON,ST,2515 JEFFERSON ST,"2515 JEFFERSON ST, Houston, Texas"
30290000007,1205968,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,9/21/2009,2010,1615,DOWLING,ST,1615 DOWLING ST,"1615 DOWLING ST, Houston, Texas"
30290000007,1205969,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,9/21/2009,2010,1613,DOWLING,ST,1613 DOWLING ST,"1613 DOWLING ST, Houston, Texas"
30370000002,1427513,CITY OF HOUSTON,Incomplete,DEMO RES/SEWER DISC,Residential Demolition,12/23/2014,2016,316,YORK,ST,316 YORK ST,"316 YORK ST, Houston, Texas"
30370000008,1378594,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,11/22/2013,2014,309,SAMPSON,ST,309 SAMPSON ST,"309 SAMPSON ST, Houston, Texas"
30370000011,1373920,CITY OF HOUSTON,Complete,INTERIOR DEMO OF SHEETROCK,Residential Demolition,10/14/2013,2015,3408,GARROW,ST,3408 GARROW ST,"3408 GARROW ST, Houston, Texas"
30370000011,1378406,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,11/21/2013,2014,3408,GARROW,ST,3408 GARROW ST,"3408 GARROW ST, Houston, Texas"
30370000012,1378400,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,11/21/2013,2014,3411,PRESTON,ST,3411 PRESTON ST,"3411 PRESTON ST, Houston, Texas"
30400000008,1319537,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,8/2/2012,2013,611,SAMPSON,ST,611 SAMPSON ST,"611 SAMPSON ST, Houston, Texas"
30540000009,1214643,CITY OF HOUSTON,Complete,DEMO/SEWER DISC,Residential Demolition,12/16/2009,2011,803,YORK,ST,803 YORK ST,"803 YORK ST, Houston, Texas"
30570000014,1346681,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,3/18/2013,2014,1119,YORK,ST,1119 YORK ST,"1119 YORK ST, Houston, Texas"
30610000001,1302579,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,3/8/2012,2013,1514,ENNIS,ST,1514 ENNIS ST,"1514 ENNIS ST, Houston, Texas"
30640000006,1127220,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,10/10/2007,2009,1411,PALMER,ST,1411 PALMER ST,"1411 PALMER ST, Houston, Texas"
30640000006,1127221,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,10/10/2007,2009,1409,PALMER,ST,1409 PALMER ST,"1409 PALMER ST, Houston, Texas"
30640000010,1292189,CITY OF HOUSTON,Complete,RESIDENTIAL REPAIRS & RE ROOF,Residential Demolition,12/12/2011,2012,3103,CLAY,ST,3103 CLAY ST,"3103 CLAY ST, Houston, Texas"
30640000010,1295433,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,1/3/2012,2013,3105,CLAY,ST,3105 CLAY ST,"3105 CLAY ST, Houston, Texas"
30710000001,1213329,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,11/24/2009,2010,101,PRESTON,ST,101 PRESTON ST,"101 PRESTON ST, Houston, Texas"
31090000006,1391364,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC NEEDED,Commercial Demolition,3/7/2014,2015,927,DART,ST,927 DART ST,"927 DART ST, Houston, Texas"
31090000020,1368423,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISCONNECT,Residential Demolition,9/3/2013,2014,1210,ELDER,ST,1210 ELDER ST,"1210 ELDER ST, Houston, Texas"
31390020034,1369377,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,9/13/2013,2014,10530,HARTSOOK,ST,10530 HARTSOOK ST,"10530 HARTSOOK ST, Houston, Texas"
31450190009,1320249,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,8/10/2012,2013,9514,GALVESTON,RD,9514 GALVESTON RD,"9514 GALVESTON RD, Houston, Texas"
31460210017,1399633,CITY OF HOUSTON,Incomplete,DEMO BLD (STAGE & CANOPY)/NO SEWER DISC NEEDED,Commercial Demolition,5/2/2014,2016,9130,GALVESTON,RD,9130 GALVESTON RD,"9130 GALVESTON RD, Houston, Texas"
31560000002,1235706,CITY OF HOUSTON,Complete,DEMO BLDG/ SEWER DISC,Commercial Demolition,6/24/2010,2011,1515,KEENE,ST,1515 KEENE ST,"1515 KEENE ST, Houston, Texas"
31560000002,1235751,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,6/25/2010,2011,1515,KEENE,ST,1515 KEENE ST,"1515 KEENE ST, Houston, Texas"
31640000018,1218878,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,2/23/2010,2011,1604,FULTON,ST,1604 FULTON ST,"1604 FULTON ST, Houston, Texas"
31640000019,1244580,CITY OF HOUSTON,Complete,RES DEMO / SEWR DISC,Residential Demolition,9/27/2010,2011,1125,BROOKS,ST,1125 BROOKS ST,"1125 BROOKS ST, Houston, Texas"
31640000020,3,CITY OF HOUSTON,Complete,RES DEMO / SEWR DISC,Residential Demolition,9/27/2010,2011,1125,BROOKS,ST,1125 BROOKS ST,"1125 BROOKS ST, Houston, Texas"
31670000002,1300599,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,2/23/2012,2013,1612,GENTRY,ST,1612 GENTRY ST,"1612 GENTRY ST, Houston, Texas"
31670000006,1126807,CITY OF HOUSTON,Complete,DEMO BLD/ SEWER DISC,Residential Demolition,8/22/2007,2008,1003,BROOKS,ST,1003 BROOKS ST,"1003 BROOKS ST, Houston, Texas"
31670000008,1125898,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,5/14/2007,2008,1603,FULTON,ST,1603 FULTON ST,"1603 FULTON ST, Houston, Texas"
31670000009,1416532,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,9/4/2014,2015,1607,FULTON,ST,1607 FULTON ST,"1607 FULTON ST, Houston, Texas"
31840000001,1263392,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,3/24/2011,2012,1102,HOGAN,ST,1102 HOGAN ST,"1102 HOGAN ST, Houston, Texas"
31930000001,1352787,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,5/8/2013,2014,1700,GLASER,ZA,1700 GLASER ZA,"1700 GLASER ZA, Houston, Texas"
