account,permitID,agencyID,permitStatus,desc,permitType,issueDate,year,siteNo,siteStreet,siteSuffix,streetAddress,fullAddress,lon,lat,address,zip
4.41E+11,1142108,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,4/24/2008,2009,8516,HEMPSTEAD,RD,8516 HEMPSTEAD RD,"8516 HEMPSTEAD RD, Houston, Texas",-95.4386547,29.7865569,"8516 hempstead rd, houston, tx 77008, usa",77008
1.11E+11,1283758,CITY OF HOUSTON,Complete,DEMO OF CANOPY  & PLANTERS,Commercial Demolition,9/22/2011,2012,10800,BELLAIRE,BL,10800 BELLAIRE BL,"10800 BELLAIRE BL, Houston, Texas",-95.5696576,29.7048171,"10800 bellaire blvd, houston, tx 77072, usa",77072
7.42E+11,1353016,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISCONNECT,Residential Demolition,5/10/2013,2014,14806,NICHOLAS,ST,14806 NICHOLAS ST,"14806 NICHOLAS ST, Houston, Texas",-95.508766,29.628955,"14806 nicholas st, houston, tx 77085, usa",77085
6.20E+11,1126717,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,8/14/2007,2008,2213,DORRINGTON,ST,2213 DORRINGTON ST,"2213 DORRINGTON ST, Houston, Texas",-95.410409,29.705119,"2213 dorrington st, houston, tx 77030, usa",77030
1.22E+12,1196693,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,6/5/2009,2010,6503,IRVINGTON,BL,6503 IRVINGTON BL,"6503 IRVINGTON BL, Houston, Texas",-95.3615519,29.817258,"6503 irvington blvd, houston, tx 77022, usa",77022
1.92E+11,1127032,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC.,Residential Demolition,9/13/2007,2009,3706,PALMER,ST,3706 PALMER ST,"3706 PALMER ST, Houston, Texas",-95.361988,29.727802,"3706 palmer st, houston, tx 77004, usa",77004
1.42E+11,1333502,CITY OF HOUSTON,Complete,RESIDENTIAL REPAIRS PER REPAIR LIST/RE-ROOF (NO OV,Residential Demolition,11/29/2012,2014,1817,FOREST HILL,BL,1817 FOREST HILL BL,"1817 FOREST HILL BL, Houston, Texas",-95.3005105,29.7239462,"1817 forest hill blvd, houston, tx 77023, usa",77023
9.74E+11,1205497,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,9/14/2009,2010,14106,BARRYKNOLL,LN,14106 BARRYKNOLL LN,"14106 BARRYKNOLL LN, Houston, Texas",-95.5926029,29.7788759,"14106 barryknoll ln, houston, tx 77079, usa",77079
7.31E+11,1138430,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,3/7/2008,2009,3725,PIPING ROCK,LN,3725 PIPING ROCK LN,"3725 PIPING ROCK LN, Houston, Texas",-95.4385749,29.7453328,"3725 piping rock ln, houston, tx 77027, usa",77027
1.03E+12,1300114,CITY OF HOUSTON,Complete,DEMO RES / SEWER DISC,Residential Demolition,2/24/2012,2013,13015,HARWIN,DR,13015 HARWIN DR,"13015 HARWIN DR, Houston, Texas",-95.6120069,29.712581,"13015 harwin dr, houston, tx 77072, usa",77072
2.51E+11,1142762,CITY OF HOUSTON,Complete,RES DEMO/ SEWER DISC,Residential Demolition,5/1/2008,2009,7138,CANAL,ST,7138 CANAL ST,"7138 CANAL ST, Houston, Texas",-95.296797,29.738242,"7138 canal st, houston, tx 77011, usa",77011
9.63E+11,1,ERROR: KEY NOT FOUND,Complete,DEMO,Residential Demolition,8/17/2009,2010,13813,RUSS,NA,13813 RUSS NA,"13813 RUSS NA, Houston, Texas",-95.3848591,29.7365031,"401 branard st #117, houston, tx 77006, usa",77006
1.80E+11,1416492,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,9/3/2014,2015,1121,JACKSON,BL,1121 JACKSON BL,"1121 JACKSON BL, Houston, Texas",-95.3930962,29.7487012,"1121 jackson blvd, houston, tx 77006, usa",77006
4.22E+11,1426938,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,12/16/2014,2015,2410,STEVENS,ST,2410 STEVENS ST,"2410 STEVENS ST, Houston, Texas",-95.343645,29.783925,"2410 stevens st, houston, tx 77026, usa",77026
7.70E+11,1138202,CITY OF HOUSTON,Complete,DEMO RES GARAGE APT/SEWER DISC,Residential Demolition,3/5/2008,2009,5207,GREEN TREE,RD,5207 GREEN TREE RD,"5207 GREEN TREE RD, Houston, Texas",-95.4683201,29.7650124,"5207 green tree rd, houston, tx 77056, usa",77056
3.90E+11,1193270,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,4/22/2009,2010,6840,AVENUE J,NA,6840 AVENUE J NA,"6840 AVENUE J NA, Houston, Texas",-95.302162,29.742304,"6840 avenue j, houston, tx 77011, usa",77011
51050000024,1,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,10/16/2014,2015,1614,JOHNSON,ST,1614 JOHNSON ST,"1614 JOHNSON ST, Houston, Texas",-95.3734221,29.7726822,"1614 johnson st, houston, tx 77007, usa",77007
6.42E+11,1307470,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,4/23/2012,2013,5502,VAN ZANDT,ST,5502 VAN ZANDT ST,"5502 VAN ZANDT ST, Houston, Texas",-95.3088721,29.8814852,"5502 van zandt st, houston, tx 77016, usa",77016
1.93E+11,1255732,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,1/25/2011,2012,3200,ROSEDALE,ST,3200 ROSEDALE ST,"3200 ROSEDALE ST, Houston, Texas",-95.3655768,29.7174737,"3200 rosedale st, houston, tx 77004, usa",77004
5.41E+11,1199786,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,7/20/2009,2010,2110,TANGLEY,ST,2110 TANGLEY ST,"2110 TANGLEY ST, Houston, Texas",-95.4090291,29.721687,"2110 tangley st, houston, tx 77005, usa",77005
5.40E+11,1379724,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,12/2/2013,2014,1800,HULDY,ST,1800 HULDY ST,"1800 HULDY ST, Houston, Texas",-95.410074,29.749877,"1800 huldy st, houston, tx 77019, usa",77019
7.62E+11,1305857,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,4/2/2012,2013,9706,CHATFIELD,ST,9706 CHATFIELD ST,"9706 CHATFIELD ST, Houston, Texas",-95.428219,29.680507,"9706 chatfield st, houston, tx 77025, usa",77025
7.32E+11,1127318,CITY OF HOUSTON,Complete,DEMO  RES./SEWER DISC,Residential Demolition,10/22/2007,2008,5402,FIRNAT,ST,5402 FIRNAT ST,"5402 FIRNAT ST, Houston, Texas",-95.313452,29.844705,"5402 firnat st, houston, tx 77016, usa",77016
6.31E+11,1347964,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,4/1/2013,2014,2140,SUL ROSS,ST,2140 SUL ROSS ST,"2140 SUL ROSS ST, Houston, Texas",-95.4124658,29.7378311,"2140 sul ross st, houston, tx 77098, usa",77098
6.70E+11,1283934,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,9/26/2011,2012,2307,NORTH,BL,2307 NORTH BL,"2307 NORTH BL, Houston, Texas",-95.4132829,29.7276023,"2307 north blvd, houston, tx 77098, usa",77098
31980000012,1281499,CITY OF HOUSTON,Complete,DEMO GARAGE/NO SEWER DISC NEEDED,Residential Demolition,8/18/2011,2012,1911,EVERETT,ST,1911 EVERETT ST,"1911 EVERETT ST, Houston, Texas",-95.3605282,29.7771497,"1911 everett st, houston, tx 77009, usa",77009
4.21E+11,1208584,CITY OF HOUSTON,Complete,DEMO APT/SEWER DISC,Commercial Demolition,10/27/2009,2010,3101,MACGREGOR,WA,3101 MACGREGOR WA,"3101 MACGREGOR WA, Houston, Texas",-95.370017,29.713868,"3101 n macgregor way, houston, tx 77004, usa",77004
8.06E+11,1136628,CITY OF HOUSTON,Complete,DEMO RES/ SEWER DISC.,Residential Demolition,2/13/2008,2009,413,LONGWOODS,LN,413 LONGWOODS LN,"413 LONGWOODS LN, Houston, Texas",-95.4867111,29.7743982,"413 longwoods ln, houston, tx 77024, usa",77024
4.51E+11,1347608,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,3/27/2013,2014,5650,SELINSKY,RD,5650 SELINSKY RD,"5650 SELINSKY RD, Houston, Texas",-95.345391,29.634147,"5650 selinsky rd, houston, tx 77048, usa",77048
9.13E+11,1369200,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,9/12/2013,2014,11919,LONGLEAF,LN,11919 LONGLEAF LN,"11919 LONGLEAF LN, Houston, Texas",-95.5348666,29.7551256,"11919 longleaf ln, houston, tx 77024, usa",77024
1.31E+11,1261892,CITY OF HOUSTON,Complete,DEMO RES SEWER DISC,Residential Demolition,3/4/2011,2012,215,BRYAN,ST,215 BRYAN ST,"215 BRYAN ST, Houston, Texas",-95.324649,29.7443177,"215 bryan st, houston, tx 77011, usa",77011
6.61E+11,4,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,2/11/2014,2015,1710,WROXTON,CT,1710 WROXTON CT,"1710 WROXTON CT, Houston, Texas",-95.4014405,29.7246351,"1710 wroxton ct, houston, tx 77005, usa",77005
6.10E+11,1324558,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,9/19/2012,2013,1510,34TH 1/2,ST,1510 34TH 1/2 ST,"1510 34TH 1/2 ST, Houston, Texas",-95.4266732,29.8188287,"1510 w 34th 1/2 st, houston, tx 77018, usa",77018
2.50E+11,1188885,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,2/13/2009,2010,4118,WASHINGTON,AV,4118 WASHINGTON AV,"4118 WASHINGTON AV, Houston, Texas",-95.402721,29.770391,"4118 washington ave, houston, tx 77007, usa",77007
6.01E+11,1319849,CITY OF HOUSTON,Complete,DEMO GARAGE/NO SEWER DISC NEEDED,Residential Demolition,8/7/2012,2013,2244,NORTH,BL,2244 NORTH BL,"2244 NORTH BL, Houston, Texas",-95.4124658,29.7279976,"2244 north blvd, houston, tx 77098, usa",77098
6.20E+11,1298966,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC        (GARAGE ONLY),Residential Demolition,2/7/2012,2013,2404,GLEN HAVEN,BL,2404 GLEN HAVEN BL,"2404 GLEN HAVEN BL, Houston, Texas",-95.414665,29.7018887,"2404 glen haven blvd, houston, tx 77030, usa",77030
2.00E+11,1133694,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,1/2/2008,2009,516,26TH,ST,516 26TH ST,"516 26TH ST, Houston, Texas",-95.4067586,29.8097422,"516 w 26th st, houston, tx 77008, usa",77008
1.13E+12,1267086,CITY OF HOUSTON,Complete,DEMO OF TENNNIS COURTS/NO SEWER INVOLVED NO ASBEST,Commercial Demolition,4/11/2011,2012,13835,WESTHOLLOW PARK,DR,13835 WESTHOLLOW PARK DR,"13835 WESTHOLLOW PARK DR, Houston, Texas",-95.6331361,29.7335891,"13835 westhollow park dr, houston, tx 77082, usa",77082
1.15E+12,2,ERROR: KEY NOT FOUND,Complete,RESIDENTIAL DEMO,Residential Demolition,1/1/2011,2011,5675,DE SOTO,ST,5675 DE SOTO ST,"5675 DE SOTO ST, Houston, Texas",-95.471185,29.853752,"5675 de soto st, houston, tx 77091, usa",77091
2.00E+11,1391321,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,3/7/2014,2015,410,28TH,ST,410 28TH ST,"410 28TH ST, Houston, Texas",-95.3941801,29.812081,"410 e 28th st, houston, tx 77008, usa",77008
5.71E+11,1374592,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,10/22/2013,2014,3436,BRADFORD,ST,3436 BRADFORD ST,"3436 BRADFORD ST, Houston, Texas",-95.4308439,29.705381,"3436 bradford st, houston, tx 77025, usa",77025
1.63E+11,1127371,CITY OF HOUSTON,Complete,DEMO RESIDENTIAL,Residential Demolition,10/29/2007,2008,5922,KNOX,ST,5922 KNOX ST,"5922 KNOX ST, Houston, Texas",-95.422771,29.852555,"5922 knox st, houston, tx 77091, usa",77091
4.10E+11,1,CITY OF HOUSTON,Complete,DEMO,Commercial Demolition,8/1/2007,2008,906,SAM HOUSTON N,PK,906 SAM HOUSTON N PK,"906 SAM HOUSTON N PK, Houston, Texas",-95.3698028,29.7604267,"houston, tx, usa","on, tx"
6.60E+11,1427511,CITY OF HOUSTON,Complete,DEMO RES /SEWER DISC,Residential Demolition,12/23/2014,2015,6905,CAMWAY,ST,6905 CAMWAY ST,"6905 CAMWAY ST, Houston, Texas",-95.3095664,29.8213953,"6905 camway st, houston, tx 77028, usa",77028
7.32E+11,1139482,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,3/20/2008,2010,6102,BENDER,RD,6102 BENDER RD,"6102 BENDER RD, Houston, Texas",-95.29749,29.948433,"6102 bender rd, humble, tx 77396, usa",77396
2.92E+11,1307710,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,4/26/2012,2013,2423,ELMEN,ST,2423 ELMEN ST,"2423 ELMEN ST, Houston, Texas",-95.4035472,29.7439232,"2423 elmen st, houston, tx 77019, usa",77019
7.80E+11,1274886,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,6/17/2011,2012,8423,HATTON,ST,8423 HATTON ST,"8423 HATTON ST, Houston, Texas",-95.4229817,29.6893105,"8423 hatton st, houston, tx 77025, usa",77025
6.01E+11,1420951,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Commercial Demolition,10/15/2014,2015,3214,WESTHEIMER,RD,3214 WESTHEIMER RD,"3214 WESTHEIMER RD, Houston, Texas",-95.423568,29.742426,"3214 westheimer rd, houston, tx 77098, usa",77098
2.92E+11,1367538,CITY OF HOUSTON,Complete,DEMO RES/DEWER DISC,Residential Demolition,8/22/2013,2014,2315,ELMEN,ST,2315 ELMEN ST,"2315 ELMEN ST, Houston, Texas",-95.4035472,29.7451861,"2315 elmen st, houston, tx 77019, usa",77019
6.51E+11,1,CITY OF HOUSTON,Complete,DEMO RES/ SEWER DISC,Residential Demolition,2/18/2008,2009,914,EUBANKS,ST,914 EUBANKS ST,"914 EUBANKS ST, Houston, Texas",-95.358934,29.8323109,"914 eubanks st, houston, tx 77022, usa",77022
3.31E+11,1396542,CITY OF HOUSTON,Complete,DEMO RES/NO SEWER DISC NEEDED,Residential Demolition,4/21/2014,2015,1009,CORDELL,ST,1009 CORDELL ST,"1009 CORDELL ST, Houston, Texas",-95.3750006,29.8006876,"1009 cordell st, houston, tx 77009, usa",77009
1.06E+12,1206771,CITY OF HOUSTON,Complete,FILL / GRADE FOR POOL DEMOLITION / SEWER DISC,Commercial Demolition,9/14/2009,2010,3901,OMEARA,DR,3901 OMEARA DR,"3901 OMEARA DR, Houston, Texas",-95.4379405,29.6720707,"3901 omeara dr, houston, tx 77025, usa",77025
7.60E+11,1332229,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC.,Residential Demolition,11/9/2012,2013,3510,DRUMMOND,ST,3510 DRUMMOND ST,"3510 DRUMMOND ST, Houston, Texas",-95.4300207,29.6967834,"3510 drummond st, houston, tx 77025, usa",77025
3.11E+11,1139816,CITY OF HOUSTON,Complete,DEMO RES / SEWER DISC,Residential Demolition,3/26/2008,2009,1313,WEISS,ST,1313 WEISS ST,"1313 WEISS ST, Houston, Texas",-95.355025,29.800199,"1313 weiss st, houston, tx 77009, usa",77009
1.17E+12,1126166,CITY OF HOUSTON,Complete,DEMO BLD/SEWR DISC (UNIT 400),Commercial Demolition,6/19/2007,2008,8304,KNIGHT,RD,8304 KNIGHT RD,"8304 KNIGHT RD, Houston, Texas",-95.4000053,29.68519,"8304 knight rd, houston, tx 77054, usa",77054
41130000001,1287633,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,10/18/2011,2012,1820,SCHWEIKHARDT,ST,1820 SCHWEIKHARDT ST,"1820 SCHWEIKHARDT ST, Houston, Texas",-95.3227428,29.7780393,"1820 schweikhardt st, houston, tx 77020, usa",77020
6.61E+11,1325150,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,9/27/2012,2013,6114,TORREON,ST,6114 TORREON ST,"6114 TORREON ST, Houston, Texas",-95.3451807,29.8153978,"6114 torreon st, houston, tx 77026, usa",77026
9.62E+11,2,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,5/16/2012,2013,14103,CARDINAL,LN,14103 CARDINAL LN,"14103 CARDINAL LN, Houston, Texas",-95.5902226,29.7664425,"14103 cardinal ln, houston, tx 77079, usa",77079
6.60E+11,1392654,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISCONNECT,Residential Demolition,3/26/2014,2015,730,SUE BARNETT,DR,730 SUE BARNETT DR,"730 SUE BARNETT DR, Houston, Texas",-95.4124863,29.8201475,"730 sue barnett dr, houston, tx 77018, usa",77018
7.71E+11,1206191,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,9/28/2009,2010,1526,GLOURIE,DR,1526 GLOURIE DR,"1526 GLOURIE DR, Houston, Texas",-95.4877558,29.7984538,"1526 glourie dr, houston, tx 77055, usa",77055
3.81E+11,1208026,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,10/7/2009,2010,5,EMITE,CT,5 EMITE CT,"5 EMITE CT, Houston, Texas",-95.2443374,29.6282167,"9701 almeda genoa rd, houston, tx 77075, usa",77075
1.91E+11,1126643,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,8/7/2007,2008,2820,ROSALIE,ST,2820 ROSALIE ST,"2820 ROSALIE ST, Houston, Texas",-95.3605915,29.7324873,"2820 rosalie st, houston, tx 77004, usa",77004
5.23E+11,1147176,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,6/19/2008,2009,8,WAVERLY,CT,8 WAVERLY CT,"8 WAVERLY CT, Houston, Texas",-95.393005,29.725036,"8 waverly ct, houston, tx 77005, usa",77005
2.52E+11,1391828,CITY OF HOUSTON,Complete,DEMO RES/NO SEWER DISC NEEDED,Residential Demolition,3/14/2014,2015,7708,AVENUE L,NA,7708 AVENUE L NA,"7708 AVENUE L NA, Houston, Texas",-95.2946875,29.7369857,"7301-7317 avenue f, houston, tx 77011, usa",77011
3.73E+11,1142147,CITY OF HOUSTON,Complete,DEMO RES/ SEE PJ#8032044 FOR SEWER DISC,Residential Demolition,4/25/2008,2009,3333,DREW,ST,3333 DREW ST,"3333 DREW ST, Houston, Texas",-95.3524759,29.732597,"3333 drew st, houston, tx 77004, usa",77004
2.00E+11,12,CITY OF HOUSTON,Complete,DEMO BLD / SEWER DISC,Commercial Demolition,12/28/2010,2012,350,26TH,ST,350 26TH ST,"350 26TH ST, Houston, Texas",-95.40446,29.809694,"350 w 26th st, houston, tx 77008, usa",77008
3.73E+11,1389743,CITY OF HOUSTON,Complete,DEMO RES/NO SEWER DISCONNECT (GARAGE ONLY),Residential Demolition,2/14/2014,2015,528,HIGHLAND,ST,528 HIGHLAND ST,"528 HIGHLAND ST, Houston, Texas",-95.3777197,29.7872081,"528 highland st, houston, tx 77009, usa",77009
1.93E+11,1298744,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,2/3/2012,2013,2718,BLODGETT,ST,2718 BLODGETT ST,"2718 BLODGETT ST, Houston, Texas",-95.3694401,29.7229341,"2718 blodgett st, houston, tx 77004, usa",77004
1.04E+12,1216881,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,1/26/2010,2011,9430,BELLFORT,ST,9430 BELLFORT ST,"9430 BELLFORT ST, Houston, Texas",-95.544024,29.656899,"9430 w bellfort blvd, houston, tx 77031, usa",77031
1.30E+12,1125644,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Residential Demolition,4/4/2007,2009,3201,MAXROY,ST,3201 MAXROY ST,"3201 MAXROY ST, Houston, Texas",-95.4315419,29.7862806,"3201 maxroy st, houston, tx 77008, usa",77008
1.15E+12,2,ERROR: KEY NOT FOUND,Complete,RESIDENTIAL DEMO,Residential Demolition,1/1/2011,2011,5625,DE SOTO,ST,5625 DE SOTO ST,"5625 DE SOTO ST, Houston, Texas",-95.471185,29.853752,"5625 de soto st, houston, tx 77091, usa",77091
5.30E+11,1393314,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,3/31/2014,2015,3250,FRANCIS,ST,3250 FRANCIS ST,"3250 FRANCIS ST, Houston, Texas",-95.356969,29.729233,"3250 francis st, houston, tx 77004, usa",77004
9.75E+11,1410583,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,7/31/2014,2015,14118,WOODTHORPE,LN,14118 WOODTHORPE LN,"14118 WOODTHORPE LN, Houston, Texas",-95.5931775,29.7757409,"14118 woodthorpe ln, houston, tx 77079, usa",77079
1.72E+11,1297160,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,1/31/2012,2013,3518,BEULAH,ST,3518 BEULAH ST,"3518 BEULAH ST, Houston, Texas",-95.3493401,29.7286499,"3518 beulah st, houston, tx 77004, usa",77004
3.42E+11,1,CITY OF SOUTH HOUSTON,Complete,DEMOLISH BLDG (SLAB REMAINS),Commercial Demolition,10/17/2011,2012,305,SPENCER HWY,NA,305 SPENCER HWY NA,"305 SPENCER HWY NA, Houston, Texas",-95.228927,29.664758,"305 spencer hwy, south houston, tx 77587, usa",77587
3.11E+11,1318321,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,7/17/2012,2013,3920,CHAPMAN,ST,3920 CHAPMAN ST,"3920 CHAPMAN ST, Houston, Texas",-95.3539859,29.7964309,"3920 chapman st, houston, tx 77009, usa",77009
9.01E+11,1167095,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,9/24/2008,2009,8918,SAGER,DR,8918 SAGER DR,"8918 SAGER DR, Houston, Texas",-95.4672348,29.6814945,"8918 sager dr, houston, tx 77096, usa",77096
2.60E+11,1251117,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,12/8/2010,2011,3406,TRAVIS,ST,3406 TRAVIS ST,"3406 TRAVIS ST, Houston, Texas",-95.37933,29.74078,"3406 travis st, houston, tx 77002, usa",77002
5.71E+11,1409594,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,7/18/2014,2015,1601,BROADWAY,ST,1601 BROADWAY ST,"1601 BROADWAY ST, Houston, Texas",-95.2774671,29.7107917,"1601 broadway st, houston, tx 77012, usa",77012
2.22E+11,8,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,8/21/2009,2010,2308,MILBY,ST,2308 MILBY ST,"2308 MILBY ST, Houston, Texas",-95.3458028,29.73363,"2308 milby st, houston, tx 77004, usa",77004
8.45E+11,1125756,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,4/20/2007,2008,438,GAYWOOD,DR,438 GAYWOOD DR,"438 GAYWOOD DR, Houston, Texas",-95.572599,29.7720317,"438 w gaywood dr, houston, tx 77079, usa",77079
7.31E+11,1376716,CITY OF HOUSTON,Complete,DEMO/RES,Residential Demolition,11/1/2013,2014,1631,DU BARRY,LN,1631 DU BARRY LN,"1631 DU BARRY LN, Houston, Texas",-95.4404783,29.8210738,"1631 du barry ln, houston, tx 77018, usa",77018
6.21E+11,1381500,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,12/26/2013,2014,1035,6TH 1/2,ST,1035 6TH 1/2 ST,"1035 6TH 1/2 ST, Houston, Texas",-95.3857016,29.7828304,"1035 e 6 1/2 st, houston, tx 77009, usa",77009
3.51E+11,1426614,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,12/11/2014,2015,520,25TH,ST,520 25TH ST,"520 25TH ST, Houston, Texas",-95.3926668,29.8087614,"520 e 25th st, houston, tx 77008, usa",77008
